Nome da Origem;Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
13.CSV;fog;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;17/01/2024;08:04:20;17/01/2024;08:07:17;2 minutes 57 seconds;Deploy;00:02:06
13.CSV;fog;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:05:11;17/01/2024;08:07:17;2 minutes 6 seconds;Deploy;00:02:06
13.CSV;fog;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:04:20;17/01/2024;08:07:18;2 minutes 58 seconds;Deploy;00:02:07
13.CSV;fog;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:04:21;17/01/2024;08:07:17;2 minutes 56 seconds;Deploy;00:02:06
13.CSV;fog;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:04:23;17/01/2024;08:07:16;2 minutes 53 seconds;Deploy;00:02:05
13.CSV;fog;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:04:22;17/01/2024;08:07:16;2 minutes 54 seconds;Deploy;00:02:05
13.CSV;fog;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:04:19;17/01/2024;08:07:16;2 minutes 57 seconds;Deploy;00:02:05
13.CSV;fog;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:04:25;17/01/2024;08:07:16;2 minutes 51 seconds;Deploy;00:02:05
13.CSV;fog;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:04:14;17/01/2024;08:07:18;3 minutes 4 seconds;Deploy;00:02:07
13.CSV;fog;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;17/01/2024;08:04:21;17/01/2024;08:07:18;2 minutes 57 seconds;Deploy;00:02:07
13.CSV;fog;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;17/01/2024;08:04:21;17/01/2024;08:07:18;2 minutes 57 seconds;Deploy;00:02:07
14.CSV;fog;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:09:00;17/01/2024;08:11:52;2 minutes 52 seconds;Deploy;00:02:05
14.CSV;fog;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:08:59;17/01/2024;08:11:52;2 minutes 53 seconds;Deploy;00:02:05
14.CSV;fog;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:08:55;17/01/2024;08:11:52;2 minutes 57 seconds;Deploy;00:02:05
14.CSV;fog;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;17/01/2024;08:08:57;17/01/2024;08:11:52;2 minutes 55 seconds;Deploy;00:02:05
14.CSV;fog;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:09:47;17/01/2024;08:11:53;2 minutes 6 seconds;Deploy;00:02:06
14.CSV;fog;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:08:57;17/01/2024;08:11:52;2 minutes 55 seconds;Deploy;00:02:05
14.CSV;fog;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:09:01;17/01/2024;08:11:52;2 minutes 51 seconds;Deploy;00:02:05
14.CSV;fog;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:08:58;17/01/2024;08:11:52;2 minutes 54 seconds;Deploy;00:02:05
14.CSV;fog;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:09:01;17/01/2024;08:11:52;2 minutes 51 seconds;Deploy;00:02:05
14.CSV;fog;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:08:59;17/01/2024;08:11:53;2 minutes 54 seconds;Deploy;00:02:06
14.CSV;fog;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:09:03;17/01/2024;08:11:53;2 minutes 50 seconds;Deploy;00:02:06
14.CSV;fog;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:08:52;17/01/2024;08:11:53;3 minutes 1 second;Deploy;00:02:06
14.CSV;fog;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;17/01/2024;08:08:59;17/01/2024;08:11:51;2 minutes 52 seconds;Deploy;00:02:04
14.CSV;fog;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;17/01/2024;08:08:54;17/01/2024;08:11:51;2 minutes 57 seconds;Deploy;00:02:04
15.CSV;fog;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:13:36;17/01/2024;08:16:28;2 minutes 52 seconds;Deploy;00:02:04
15.CSV;fog;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:13:35;17/01/2024;08:16:28;2 minutes 53 seconds;Deploy;00:02:04
15.CSV;fog;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;08:13:36;17/01/2024;08:16:28;2 minutes 52 seconds;Deploy;00:02:04
15.CSV;fog;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;17/01/2024;08:13:34;17/01/2024;08:16:28;2 minutes 54 seconds;Deploy;00:02:04
15.CSV;fog;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:14:24;17/01/2024;08:16:28;2 minutes 4 seconds;Deploy;00:02:04
15.CSV;fog;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:13:35;17/01/2024;08:16:28;2 minutes 53 seconds;Deploy;00:02:04
15.CSV;fog;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:13:35;17/01/2024;08:16:27;2 minutes 52 seconds;Deploy;00:02:03
15.CSV;fog;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:13:38;17/01/2024;08:16:27;2 minutes 49 seconds;Deploy;00:02:03
15.CSV;fog;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:13:35;17/01/2024;08:16:27;2 minutes 52 seconds;Deploy;00:02:03
15.CSV;fog;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:13:36;17/01/2024;08:16:28;2 minutes 52 seconds;Deploy;00:02:04
15.CSV;fog;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:13:39;17/01/2024;08:16:29;2 minutes 50 seconds;Deploy;00:02:05
15.CSV;fog;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;08:13:29;17/01/2024;08:16:29;3 minutes ;Deploy;00:02:05
15.CSV;fog;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;17/01/2024;08:13:35;17/01/2024;08:16:28;2 minutes 53 seconds;Deploy;00:02:04
